Ranking,Title,IMDb Rating
1,Um Sonho de Liberdade (1994),9.2
2,O Poderoso Chefão (1972),9.1
3,O Poderoso Chefão II (1974),9.0
4,Batman: O Cavaleiro das Trevas (2008),9.0
5,12 Homens e uma Sentença (1957),8.9
6,A Lista de Schindler (1993),8.9
7,O Senhor dos Anéis: O Retorno do Rei (2003),8.9
8,Pulp Fiction: Tempo de Violência (1994),8.8
9,Três Homens em Conflito (1966),8.8
10,O Senhor dos Anéis: A Sociedade do Anel (2001),8.8
11,Clube da Luta (1999),8.8
12,Forrest Gump: O Contador de Histórias (1994),8.8
13,A Origem (2010),8.7
14,O Senhor dos Anéis: As Duas Torres (2002),8.7
15,"Star Wars, Episódio V: O Império Contra-Ataca (1980)",8.7
16,Matrix (1999),8.6
17,Os Bons Companheiros (1990),8.6
18,Um Estranho no Ninho (1975),8.6
19,Os Sete Samurais (1954),8.6
20,Seven: Os Sete Crimes Capitais (1995),8.6
21,A Vida é Bela (1997),8.6
22,Cidade de Deus (2002),8.6
23,O Silêncio dos Inocentes (1991),8.6
24,A Felicidade Não se Compra (1946),8.6
25,Guerra nas Estrelas (1977),8.6
26,O Resgate do Soldado Ryan (1998),8.6
27,A Viagem de Chihiro (2001),8.5
28,À Espera de um Milagre (1999),8.5
29,Interestelar (2014),8.5
30,Parasita (2019),8.5
31,O Profissional (1994),8.5
32,Os Suspeitos (1995),8.5
33,Harakiri (1962),8.5
34,O Rei Leão (1994),8.5
35,O Pianista (2002),8.5
36,De Volta para o Futuro (1985),8.5
37,O Exterminador do Futuro 2: O Julgamento Final (1991),8.5
38,A Outra História Americana (1998),8.5
39,Tempos Modernos (1936),8.5
40,Psicose (1960),8.5
41,Gladiador (2000),8.5
42,Luzes da Cidade (1931),8.5
43,Os Infiltrados (2006),8.5
44,Intocáveis (2011),8.5
45,Whiplash: Em Busca da Perfeição (2014),8.5
46,Túmulo dos Vagalumes (1988),8.5
47,O Grande Truque (2006),8.5
48,Era uma Vez no Oeste (1968),8.4
49,Casablanca (1942),8.4
50,Cinema Paradiso (1988),8.4
51,Janela Indiscreta (1954),8.4
52,Alien - O 8º Passageiro (1979),8.4
53,Hamilton (2020),8.4
54,Apocalypse Now (1979),8.4
55,Amnésia (2000),8.4
56,O Grande Ditador (1940),8.4
57,Os Caçadores da Arca Perdida (1981),8.4
58,Django Livre (2012),8.4
59,A Vida dos Outros (2006),8.4
60,Coringa (2019),8.4
61,Glória Feita de Sangue (1957),8.4
62,WALL·E (2008),8.4
63,O Iluminado (1980),8.4
64,Vingadores: Guerra Infinita (2018),8.4
65,Crepúsculo dos Deuses (1950),8.4
66,Testemunha de Acusação (1957),8.4
67,Oldboy (2003),8.3
68,Princesa Mononoke (1997),8.3
69,Homem-Aranha no Aranhaverso (2018),8.3
70,Dr. Fantástico (1964),8.3
71,Batman: O Cavaleiro das Trevas Ressurge (2012),8.3
72,Era uma Vez na América (1984),8.3
73,"Aliens, o Resgate (1986)",8.3
74,Your Name. (2016),8.3
75,Viva: A Vida é uma Festa (2017),8.3
76,Vingadores: Ultimato (2019),8.3
77,Beleza Americana (1999),8.3
78,Coração Valente (1995),8.3
79,O Barco: Inferno no Mar (1981),8.3
80,3 Idiotas (2009),8.3
81,Toy Story (1995),8.3
82,Cafarnaum (2018),8.3
83,Céu E Inferno (1963),8.3
84,Amadeus (1984),8.3
85,Bastardos Inglórios (2009),8.3
86,"Star Wars, Episódio VI: O Retorno do Jedi (1983)",8.3
87,Como Estrelas na Terra (2007),8.3
88,Gênio Indomável (1997),8.3
89,Cães de Aluguel (1992),8.3
90,2001: Uma Odisséia no Espaço (1968),8.3
91,Réquiem para um Sonho (2000),8.3
92,Um Corpo que Cai (1958),8.3
93,"M, o Vampiro de Dusseldorf (1931)",8.3
94,A Caça (2012),8.3
95,Brilho Eterno de uma Mente sem Lembranças (2004),8.3
96,Cidadão Kane (1941),8.3
97,Dangal (2016),8.3
98,Nascido para Matar (1987),8.2
99,Ladrões de Bicicletas (1948),8.2
100,Cantando na Chuva (1952),8.2
101,O Garoto (1921),8.2
102,Intriga Internacional (1959),8.2
103,1917 (2019),8.2
104,Snatch: Porcos e Diamantes (2000),8.2
105,Laranja Mecânica (1971),8.2
106,Scarface (1983),8.2
107,Viver (1952),8.2
108,Taxi Driver: Motorista de Táxi (1976),8.2
109,Vá e Veja (1985),8.2
110,Lawrence da Arábia (1962),8.2
111,Toy Story 3 (2010),8.2
112,O Fabuloso Destino de Amélie Poulain (2001),8.2
113,Golpe de Mestre (1973),8.2
114,A Separação (2011),8.2
115,Incêndios (2010),8.2
116,Metrópolis (1927),8.2
117,Por uns Dólares a Mais (1965),8.2
118,Se Meu Apartamento Falasse (1960),8.2
119,Pacto de Sangue (1944),8.2
120,O Sol é para Todos (1962),8.2
121,Up: Altas Aventuras (2009),8.2
122,Indiana Jones e a Última Cruzada (1989),8.2
123,Fogo Contra Fogo (1995),8.2
124,Los Angeles: Cidade Proibida (1997),8.2
125,Duro de Matar (1988),8.2
126,Green Book: O Guia (2018),8.2
127,Monty Python em Busca do Cálice Sagrado (1975),8.2
128,"Yojimbo, o Guarda-Costas (1961)",8.2
129,Batman Begins (2005),8.2
130,Rashomon (1950),8.2
131,A Queda! As Últimas Horas de Hitler (2004),8.2
132,Filhos do Paraíso (1997),8.2
133,Os Imperdoáveis (1992),8.2
134,Quanto Mais Quente Melhor (1959),8.2
135,Ran (1985),8.2
136,O Castelo Animado (2004),8.2
137,A Malvada (1950),8.2
138,Uma Mente Brilhante (2001),8.2
139,Cassino (1995),8.2
140,Fugindo do Inferno (1963),8.2
141,O Lobo de Wall Street (2013),8.2
142,O Labirinto do Fauno (2006),8.2
143,O Segredo dos Seus Olhos (2009),8.1
144,Sangue Negro (2007),8.1
145,"Jogos, Trapaças e Dois Canos Fumegantes (1998)",8.1
146,Meu Amigo Totoro (1988),8.1
147,Touro Indomável (1980),8.1
148,Julgamento em Nuremberg (1961),8.1
149,O Tesouro da Sierra Madre (1948),8.1
150,Disque M para Matar (1954),8.1
151,Três Anúncios para um Crime (2017),8.1
152,Ilha do Medo (2010),8.1
153,Em Busca do Ouro (1925),8.1
154,Chinatown (1974),8.1
155,Meu Pai e Meu Filho (2005),8.1
156,Onde os Fracos Não Têm Vez (2007),8.1
157,V de Vingança (2005),8.1
158,Divertida Mente (2015),8.1
159,O Sétimo Selo (1957),8.1
160,O Homem Elefante (1980),8.1
161,O Enigma de Outro Mundo (1982),8.1
162,Guerreiro (2011),8.1
163,O Sexto Sentido (1999),8.1
164,Trainspotting: Sem Limites (1996),8.1
165,Jurassic Park: O Parque dos Dinossauros (1993),8.1
166,Klaus (2019),8.1
167,O Show de Truman: O Show da Vida (1998),8.1
168,...E o Vento Levou (1939),8.1
169,Procurando Nemo (2003),8.1
170,Morangos Silvestres (1957),8.1
171,Blade Runner: O Caçador de Androides (1982),8.1
172,Stalker (1979),8.1
173,Anand (1971),8.1
174,Kill Bill: Volume 1 (2003),8.1
175,Memórias de um Assassino (2003),8.1
176,A Ponte do Rio Kwai (1957),8.1
177,Fargo: Uma Comédia de Erros (1996),8.1
178,Soul (2020),8.1
179,O Quarto de Jack (2015),8.1
180,Gran Torino (2008),8.1
181,O 3º Homem (1949),8.1
182,Relatos Selvagens (2014),8.1
183,Sindicato de Ladrões (1954),8.1
184,Era uma Vez em Tóquio (1953),8.1
185,O Franco Atirador (1978),8.1
186,Em Nome do Pai (1993),8.1
187,Mary e Max: Uma Amizade Diferente (2009),8.1
188,Sonata de Outono (1978),8.1
189,O Grande Hotel Budapeste (2014),8.1
190,Garota Exemplar (2014),8.1
191,Antes do Amanhecer (1995),8.1
192,Até o Último Homem (2016),8.1
193,Prenda-me se for Capaz (2002),8.1
194,Assassinato às Cegas (2018),8.1
195,Quando Duas Mulheres Pecam (1966),8.1
196,Os Suspeitos (2013),8.1
197,O Grande Lebowski (1998),8.1
198,Bancando o Águia (1924),8.1
199,Ser ou Não Ser (1942),8.1
200,A General (1926),8.1
201,Como Treinar o Seu Dragão (2010),8.1
202,Ford vs Ferrari (2019),8.1
203,O Bandido (1996),8.1
204,Barry Lyndon (1975),8.1
205,12 Anos de Escravidão (2013),8.1
206,A Mulher Faz o Homem (1939),8.1
207,Mad Max: Estrada da Fúria (2015),8.1
208,Menina de Ouro (2004),8.1
209,Rede de Intrigas (1976),8.1
210,Sociedade dos Poetas Mortos (1989),8.1
211,Conta Comigo (1986),8.1
212,Harry Potter e as Relíquias da Morte - Parte 2 (2011),8.1
213,Ben-Hur (1959),8.1
214,Rebeldia Indomável (1967),8.1
215,Sempre ao Seu Lado (2009),8.1
216,Vida Cigana (1988),8.1
217,Platoon (1986),8.1
218,A Criada (2016),8.0
219,Logan (2017),8.0
220,Na Natureza Selvagem (2007),8.0
221,Rush: No Limite da Emoção (2013),8.0
222,O Salário do Medo (1953),8.0
223,A Vida de Brian (1979),8.0
224,Os Incompreendidos (1959),8.0
225,Spotlight: Segredos Revelados (2015),8.0
226,O Ódio (1995),8.0
227,O Martírio de Joana D'Arc (1928),8.0
228,Hotel Ruanda (2004),8.0
229,Amores Brutos (2000),8.0
230,Andrei Rublev (1966),8.0
231,Rocky: Um Lutador (1976),8.0
232,Gangues de Wasseypur (2012),8.0
233,Monstros S.A. (2001),8.0
234,Nausicaä do Vale do Vento (1984),8.0
235,"Rebecca, a Mulher Inesquecível (1940)",8.0
236,Rififi (1955),8.0
237,Pinte de Açafrão (2006),8.0
238,Antes do Pôr-do-Sol (2004),8.0
239,Amor à Flor da Pele (2000),8.0
240,Vikram Vedha (2017),8.0
241,"Paris, Texas (1984)",8.0
242,Retrato de uma Jovem em Chamas (2019),8.0
243,Aconteceu Naquela Noite (1934),8.0
244,Um Contratempo (2016),8.0
245,Histórias Cruzadas (2011),8.0
246,A Princesa Prometida (1987),8.0
247,A Batalha de Argel (1966),8.0
248,A Chantagem (2015),8.0
249,Fanny e Alexander (1982),8.0
250,Tangerinas (2013),8.0
