Season,MVP,Defensive Player of the Year,Rookie of the Year,Sixth Man of the Year,Most Improved Player,Coach of the Year,Finals MVP,All-NBA 1st Team,All-NBA 2nd Team,All-NBA 3rd Team,All-Rookie 1st Team,All-Rookie 2nd Team,All-Defensive 1st Team,All-Defensive 2nd Team,All-Star MVP
2000,"Shaquille O'Neal, LAL","Alonzo Mourning, MIA","Elton Brand, CHI","Steve Francis, HOU","Rodney Rogers, PHX","Jalen Rose, IND","Doc Rivers, ORL","[""Shaquille O'Neal, LAL"", 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Jason Kidd, PHX', ""Shaquille O'Neal, LAL""]","['Gary Payton, SEA', 'Kobe Bryant, LAL', 'Grant Hill, DET', 'Allen Iverson, PHI', 'Karl Malone, UTAH']","['Alonzo Mourning, MIA', 'Vince Carter, TOR', 'Eddie Jones, CHA', 'Stephon Marbury, NJ', 'David Robinson, SA']","['Chris Webber, SAC', 'Elton Brand, CHI', 'Steve Francis, HOU', 'Andre Miller, CLE', 'Lamar Odom, LAC']","['Wally Szczerbiak, MIN', 'Metta World Peace, CHI', 'Chucky Atkins, ORL', 'Shawn Marion, PHX', 'James Posey, DEN']","['Jason Terry, ATL', 'Kobe Bryant, LAL', 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Alonzo Mourning, MIA']","['Gary Payton, SEA', 'Eddie Jones, CHA', 'Jason Kidd, PHX', ""Shaquille O'Neal, LAL"", 'Scottie Pippen, POR']","Clifford Robinson, POR"
2001,"Allen Iverson, PHI","Dikembe Mutombo, PHI","Mike Miller, ORL","Aaron McKie, PHI","Tracy McGrady, ORL","Larry Brown, PHI","Shaquille O'Neal, LAL","['Tim Duncan, SA', 'Allen Iverson, PHI', 'Jason Kidd, PHX', ""Shaquille O'Neal, LAL"", 'Chris Webber, SAC']","['Kobe Bryant, LAL', 'Vince Carter, TOR', 'Kevin Garnett, MIN', 'Tracy McGrady, ORL', 'Dikembe Mutombo, PHI']","['Ray Allen, MIL', 'Karl Malone, UTAH', 'Dirk Nowitzki, DAL', 'Gary Payton, SEA', 'David Robinson, SA']","['Marc Jackson, GS', 'Kenyon Martin, NJ', 'Darius Miles, LAC', 'Mike Miller, ORL', 'Morris Peterson, TOR']","['Courtney Alexander, WSH', 'Marcus Fizer, CHI', 'Desmond Mason, SEA', 'Chris Mihm, CLE', 'Hedo Turkoglu, SAC']","['Tim Duncan, SA', 'Kevin Garnett, MIN', 'Jason Kidd, PHX', 'Dikembe Mutombo, PHI', 'Gary Payton, SEA']","['Bruce Bowen, MIA', 'P.J. Brown, CHA', 'Kobe Bryant, LAL', 'Doug Christie, SAC', ""Shaquille O'Neal, LAL""]","Allen Iverson, PHI"
2002,"Tim Duncan, SA","Ben Wallace, DET","Pau Gasol, MEM","Corliss Williamson, DET","Jermaine O'Neal, IND","Rick Carlisle, DET","Shaquille O'Neal, LAL","['Kobe Bryant, LAL', 'Tim Duncan, SA', 'Jason Kidd, NJ', 'Tracy McGrady, ORL', ""Shaquille O'Neal, LAL""]","['Kevin Garnett, MIN', 'Allen Iverson, PHI', 'Dirk Nowitzki, DAL', 'Gary Payton, SEA', 'Chris Webber, SAC']","['Dikembe Mutombo, ATL', 'Steve Nash, DAL', ""Jermaine O'Neal, IND"", 'Paul Pierce, BOS', 'Ben Wallace, DET']","['Andrei Kirilenko, UTAH', 'Shane Battier, MEM', 'Pau Gasol, MEM', 'Tony Parker, SA', 'Jason Richardson, GS']","['Zeljko Rebraca, DET', 'Eddie Griffin, HOU', 'Richard Jefferson, NJ', 'Joe Johnson, PHX', 'Vladimir Radmanovic, SEA']","['Jamaal Tinsley, IND', 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Jason Kidd, NJ', 'Gary Payton, SEA']","['Ben Wallace, DET', 'Bruce Bowen, SA', 'Kobe Bryant, LAL', 'Doug Christie, SAC', 'Dikembe Mutombo, PHI']","Clifford Robinson, DET"
2003,"Tim Duncan, SA","Ben Wallace, DET","Amar'e Stoudemire, PHX","Bobby Jackson, SAC","Gilbert Arenas, GS","Hubie Brown, MEM","Gregg Popovich, SA","['Tim Duncan, SA', 'Kobe Bryant, LAL', 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Tracy McGrady, ORL']","[""Shaquille O'Neal, LAL"", 'Allen Iverson, PHI', 'Jason Kidd, NJ', 'Dirk Nowitzki, DAL', 'Ben Wallace, DET']","['Chris Webber, SAC', 'Stephon Marbury, PHX', 'Jamal Mashburn, NO', 'Steve Nash, DAL', ""Jermaine O'Neal, IND""]","['Paul Pierce, BOS', 'Caron Butler, MIA', 'Drew Gooden, ORL', 'Nene Hilario, DEN', 'Yao Ming, HOU']","[""Amar'e Stoudemire, PHX"", 'Manu Ginobili, SA', 'Gordan Giricek, ORL', 'Carlos Boozer, CLE', 'Jay Williams, CHI']","['J.R. Bremer, BOS', 'Kobe Bryant, LAL', 'Doug Christie, SAC', 'Tim Duncan, SA', 'Kevin Garnett, MIN']","['Ben Wallace, DET', 'Metta World Peace, IND', 'Bruce Bowen, SA', 'Jason Kidd, NJ', ""Shaquille O'Neal, LAL""]","Eric Snow, PHI"
2004,"Kevin Garnett, MIN","Metta World Peace, IND","LeBron James, CLE","Antawn Jamison, DAL","Zach Randolph, POR","Hubie Brown, MEM","Chauncey Billups, DET","['Kobe Bryant, LAL', 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Jason Kidd, NJ', ""Shaquille O'Neal, LAL""]","['Sam Cassell, MIN', 'Tracy McGrady, ORL', ""Jermaine O'Neal, IND"", 'Peja Stojakovic, SAC', 'Ben Wallace, DET']","['Metta World Peace, IND', 'Baron Davis, NO', 'Dirk Nowitzki, DAL', 'Michael Redd, MIL', 'Yao Ming, HOU']","['LeBron James, CLE', 'Carmelo Anthony, DEN', 'Chris Bosh, TOR', 'Kirk Hinrich, CHI', 'Dwyane Wade, MIA']","['T.J. Ford, MIL', 'Jarvis Hayes, WSH', 'Josh Howard, DAL', 'Udonis Haslem, MIA', 'Marquis Daniels, DAL']","['Metta World Peace, IND', 'Bruce Bowen, SA', 'Kobe Bryant, LAL', 'Kevin Garnett, MIN', 'Ben Wallace, DET']","['Doug Christie, SAC', 'Tim Duncan, SA', 'Jason Kidd, NJ', 'Andrei Kirilenko, UTAH', 'Theo Ratliff, POR']","Shaquille O'Neal, LAL"
2005,"Steve Nash, PHX","Ben Wallace, DET","Emeka Okafor, CHA","Ben Gordon, CHI","Bobby Simmons, LAC","Mike D'Antoni, PHX","Tim Duncan, SA","['Tim Duncan, SA', 'Allen Iverson, PHI', 'Steve Nash, PHX', 'Dirk Nowitzki, DAL', ""Shaquille O'Neal, MIA""]","['Ray Allen, SEA', 'Kevin Garnett, BOS', ""Amar'e Stoudemire, PHX"", 'LeBron James, CLE', 'Dwyane Wade, MIA']","['Kobe Bryant, LAL', 'Shawn Marion, PHX', 'Tracy McGrady, HOU', 'Ben Wallace, DET', 'Gilbert Arenas, WSH']","['Ben Gordon, CHI', 'Dwight Howard, ORL', 'Andre Iguodala, PHI', 'Emeka Okafor, CHA', 'Luol Deng, CHI']","['Nenad Krstic, NJ', 'Josh Childress, ATL', 'Al Jefferson, BOS', 'Josh Smith, ATL', 'Jameer Nelson, ORL']","['Bruce Bowen, SA', 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Larry Hughes, WSH', 'Ben Wallace, DET']","['Chauncey Billups, DET', 'Marcus Camby, DEN', 'Jason Kidd, NJ', 'Andrei Kirilenko, UTAH', 'Tayshaun Prince, DET']","Dwyane Wade, MIA"
2006,"Steve Nash, PHX","Ben Wallace, DET","Chris Paul, NO","Mike Miller, MEM","Boris Diaw, PHX","Avery Johnson, DAL","Dwyane Wade, MIA","['Kobe Bryant, LAL', 'Steve Nash, PHX', 'Dirk Nowitzki, DAL', ""Shaquille O'Neal, MIA"", 'LeBron James, CLE']","['Chauncey Billups, DET', 'Elton Brand, LAC', 'Tim Duncan, SA', 'Ben Wallace, DET', 'Dwyane Wade, MIA']","['Allen Iverson, PHI', 'Shawn Marion, PHX', 'Gilbert Arenas, WSH', 'Yao Ming, HOU', 'Carmelo Anthony, DEN']","['Andrew Bogut, MIL', 'Channing Frye, NY', 'Chris Paul, NO', 'Charlie Villanueva, TOR', 'Deron Williams, UTAH']","['Raymond Felton, CHA', 'Ryan Gomes, BOS', 'Danny Granger, IND', 'Luther Head, HOU', 'Marvin Williams, ATL']","['Metta World Peace, SAC', 'Bruce Bowen, SA', 'Kobe Bryant, LAL', 'Jason Kidd, NJ', 'Andrei Kirilenko, UTAH']","['Ben Wallace, DET', 'Chauncey Billups, DET', 'Marcus Camby, DEN', 'Tim Duncan, SA', 'Kevin Garnett, MIN']","Tayshaun Prince, DET"
2007,"Dirk Nowitzki, DAL","Marcus Camby, DEN","Brandon Roy, POR","Leandro Barbosa, PHX","Monta Ellis, GS","Sam Mitchell, TOR","Tony Parker, SA","['Kobe Bryant, LAL', 'Tim Duncan, SA', 'Steve Nash, PHX', 'Dirk Nowitzki, DAL', ""Amar'e Stoudemire, PHX""]","['Tracy McGrady, HOU', 'Gilbert Arenas, WSH', 'Yao Ming, HOU', 'LeBron James, CLE', 'Chris Bosh, TOR']","['Chauncey Billups, DET', 'Kevin Garnett, MIN', 'Carmelo Anthony, DEN', 'Dwyane Wade, MIA', 'Dwight Howard, ORL']","['LaMarcus Aldridge, POR', 'Andrea Bargnani, TOR', 'Randy Foye, MIN', 'Rudy Gay, MEM', 'Brandon Roy, POR']","['Jorge Garbajosa, TOR', 'Paul Millsap, UTAH', 'Adam Morrison, CHA', 'Rajon Rondo, BOS', 'Craig Smith, MIN']","['Tyrus Thomas, CHI', 'Marcus Williams, NJ', 'Walter Herrmann Heinrich, CHA', 'Raja Bell, PHX', 'Bruce Bowen, SA']","['Kobe Bryant, LAL', 'Marcus Camby, DEN', 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Jason Kidd, NJ']","Ben Wallace, CHI"
2008,"Kobe Bryant, LAL","Kevin Garnett, BOS","Kevin Durant, SEA","Manu Ginobili, SA","Hedo Turkoglu, ORL","Byron Scott, NO","Paul Pierce, BOS","['Kobe Bryant, LAL', 'Kevin Garnett, BOS', 'LeBron James, CLE', 'Dwight Howard, ORL', 'Chris Paul, NO']","['Tim Duncan, SA', 'Steve Nash, PHX', 'Dirk Nowitzki, DAL', ""Amar'e Stoudemire, PHX"", 'Deron Williams, UTAH']","['Manu Ginobili, SA', 'Tracy McGrady, HOU', 'Paul Pierce, BOS', 'Carlos Boozer, UTAH', 'Yao Ming, HOU']","['Luis Scola, HOU', 'Kevin Durant, SEA', 'Jeff Green, SEA', 'Al Horford, ATL', 'Al Thornton, LAC']","['Juan Carlos Navarro, MEM', 'Carl Landry, HOU', 'Rodney Stuckey, DET', 'Thaddeus Young, PHI', 'Jamario Moon, TOR']","['Bruce Bowen, SA', 'Kobe Bryant, LAL', 'Marcus Camby, DEN', 'Tim Duncan, SA', 'Kevin Garnett, BOS']","['Raja Bell, PHX', 'Shane Battier, HOU', 'Tayshaun Prince, DET', 'Dwight Howard, ORL', 'Chris Paul, NO']","LeBron James, CLE"
2009,"LeBron James, CLE","Dwight Howard, ORL","Derrick Rose, CHI","Jason Terry, DAL","Danny Granger, IND","Mike Brown, CLE","Kobe Bryant, LAL","['Kobe Bryant, LAL', 'Dirk Nowitzki, DAL', 'LeBron James, CLE', 'Dwyane Wade, MIA', 'Dwight Howard, ORL']","['Tim Duncan, SA', 'Paul Pierce, BOS', 'Yao Ming, HOU', 'Chris Paul, NO', 'Brandon Roy, POR']","['Chauncey Billups, DEN', ""Shaquille O'Neal, PHX"", 'Pau Gasol, LAL', 'Tony Parker, SA', 'Carmelo Anthony, DEN']","['Michael Beasley, MIA', 'Brook Lopez, NJ', 'O.J. Mayo, MEM', 'Derrick Rose, CHI', 'Russell Westbrook, OKC']","['Rudy Fernandez, POR', 'Marc Gasol, MEM', 'D.J. Augustin, CHA', 'Mario Chalmers, MIA', 'Eric Gordon, LAC']","['Kevin Love, MIN', 'Kobe Bryant, LAL', 'Kevin Garnett, BOS', 'LeBron James, CLE', 'Dwight Howard, ORL']","['Chris Paul, NO', 'Metta World Peace, LAL', 'Tim Duncan, SA', 'Shane Battier, HOU', 'Dwyane Wade, MIA']","Rajon Rondo, BOS"
2010,"LeBron James, CLE","Dwight Howard, ORL","Tyreke Evans, SAC","Jamal Crawford, ATL","Aaron Brooks, HOU","Scott Brooks, OKC","Kobe Bryant, LAL","['Kobe Bryant, LAL', 'LeBron James, CLE', 'Dwyane Wade, MIA', 'Dwight Howard, ORL', 'Kevin Durant, OKC']","['Steve Nash, PHX', 'Dirk Nowitzki, DAL', ""Amar'e Stoudemire, PHX"", 'Carmelo Anthony, DEN', 'Deron Williams, UTAH']","['Tim Duncan, SA', 'Pau Gasol, LAL', 'Joe Johnson, ATL', 'Andrew Bogut, MIL', 'Brandon Roy, POR']","['Darren Collison, NO', 'Stephen Curry, GS', 'Tyreke Evans, SAC', 'Taj Gibson, CHI', 'Brandon Jennings, MIL']","['DeJuan Blair, SA', 'Jonny Flynn, MIN', 'James Harden, OKC', 'Jonas Jerebko, DET', 'Marcus Thornton, NO']","['Kobe Bryant, LAL', 'Gerald Wallace, CHA', 'LeBron James, CLE', 'Dwight Howard, ORL', 'Rajon Rondo, BOS']","['Tim Duncan, SA', 'Dwyane Wade, MIA', 'Josh Smith, ATL', 'Anderson Varejao, CLE', 'Thabo Sefolosha, OKC']","Dwyane Wade, MIA"
2011,"Derrick Rose, CHI","Dwight Howard, ORL","Blake Griffin, LAC","Lamar Odom, LAL","Kevin Love, MIN","Tom Thibodeau, CHI","Dirk Nowitzki, DAL","['Kobe Bryant, LAL', 'LeBron James, MIA', 'Dwight Howard, ORL', 'Kevin Durant, OKC', 'Derrick Rose, CHI']","['Dirk Nowitzki, DAL', 'Pau Gasol, LAL', ""Amar'e Stoudemire, NY"", 'Dwyane Wade, MIA', 'Russell Westbrook, OKC']","['Manu Ginobili, SA', 'Zach Randolph, MEM', 'Chris Paul, NO', 'LaMarcus Aldridge, POR', 'Al Horford, ATL']","['Blake Griffin, LAC', 'John Wall, WSH', 'DeMarcus Cousins, SAC', 'Landry Fields, NY', 'Gary Neal, SA']","['Eric Bledsoe, LAC', 'Wesley Johnson, MIN', 'Paul George, IND', 'Derrick Favors, UTAH', 'Greg Monroe, DET']","['Kobe Bryant, LAL', 'Kevin Garnett, BOS', 'LeBron James, MIA', 'Dwight Howard, ORL', 'Rajon Rondo, BOS']","['Tyson Chandler, DAL', 'Tony Allen, MEM', 'Andre Iguodala, PHI', 'Chris Paul, NO', 'Joakim Noah, CHI']","Kobe Bryant, LAL"
2012,"LeBron James, MIA","Tyson Chandler, NY","Kyrie Irving, CLE","James Harden, OKC","Ryan Anderson, ORL","Gregg Popovich, SA","LeBron James, MIA","['Kobe Bryant, LAL', 'LeBron James, MIA', 'Dwight Howard, LAL', 'Chris Paul, LAC', 'Kevin Durant, OKC']","['Tony Parker, SA', 'Andrew Bynum, PHI', 'Kevin Love, MIN', 'Russell Westbrook, OKC', 'Blake Griffin, LAC']","['Dirk Nowitzki, DAL', 'Tyson Chandler, NY', 'Carmelo Anthony, NY', 'Dwyane Wade, MIA', 'Rajon Rondo, BOS']","['Ricky Rubio, MIN', 'Kenneth Faried, DEN', 'Kyrie Irving, CLE', 'Brandon Knight, DET', 'Kawhi Leonard, SA']","['Iman Shumpert, NY', 'Klay Thompson, GS', 'MarShon Brooks, NJ', 'Chandler Parsons, HOU', 'Isaiah Thomas, SAC']","['Tristan Thompson, CLE', 'Derrick Williams, MIN', 'LeBron James, MIA', 'Tony Allen, MEM', 'Dwight Howard, LAL']","['Chris Paul, LAC', 'Serge Ibaka, OKC', 'Kobe Bryant, LAL', 'Kevin Garnett, BOS', 'Tyson Chandler, NY']","Luol Deng, CHI"
2013,"LeBron James, MIA","Marc Gasol, MEM","Damian Lillard, POR","JR Smith, NY","Paul George, IND","George Karl, DEN","LeBron James, MIA","['Kobe Bryant, LAL', 'Tim Duncan, SA', 'LeBron James, MIA', 'Chris Paul, LAC', 'Kevin Durant, OKC']","['Tony Parker, SA', 'Carmelo Anthony, NY', 'Marc Gasol, MEM', 'Russell Westbrook, OKC', 'Blake Griffin, LAC']","['Dwyane Wade, MIA', 'Dwight Howard, LAL', 'David Lee, GS', 'James Harden, HOU', 'Paul George, IND']","['Harrison Barnes, GS', 'Bradley Beal, WSH', 'Anthony Davis, NO', 'Damian Lillard, POR', 'Dion Waiters, CLE']","['Kyle Singler, DET', 'Jonas Valanciunas, TOR', 'Andre Drummond, DET', 'Michael Kidd-Gilchrist, CHA', 'Tyler Zeller, CLE']","['Tyson Chandler, NY', 'LeBron James, MIA', 'Tony Allen, MEM', 'Chris Paul, LAC', 'Joakim Noah, CHI']","['Serge Ibaka, OKC', 'Tim Duncan, SA', 'Mike Conley, MEM', 'Marc Gasol, MEM', 'Avery Bradley, BOS']","Paul George, IND"
2014,"Kevin Durant, OKC","Joakim Noah, CHI","Michael Carter-Williams, PHI","Jamal Crawford, LAC","Goran Dragic, PHX","Gregg Popovich, SA","Kawhi Leonard, SA","['LeBron James, MIA', 'Chris Paul, LAC', 'Kevin Durant, OKC', 'Joakim Noah, CHI', 'James Harden, HOU']","['Tony Parker, SA', 'Dwight Howard, HOU', 'Kevin Love, MIN', 'Stephen Curry, GS', 'Blake Griffin, LAC']","['Al Jefferson, CHA', 'LaMarcus Aldridge, POR', 'Goran Dragic, PHX', 'Paul George, IND', 'Damian Lillard, POR']","['Mason Plumlee, BKN', 'Victor Oladipo, ORL', 'Tim Hardaway Jr., NY', 'Trey Burke, UTAH', 'Michael Carter-Williams, PHI']","['Kelly Olynyk, BOS', 'Gorgui Dieng, MIN', 'Cody Zeller, CHA', 'Steven Adams, OKC', 'Giannis Antetokounmpo, MIL']","['Andre Iguodala, GS', 'Chris Paul, LAC', 'Joakim Noah, CHI', 'Serge Ibaka, OKC', 'Paul George, IND']","['LeBron James, MIA', 'Roy Hibbert, IND', 'Patrick Beverley, HOU', 'Jimmy Butler, CHI', 'Kawhi Leonard, SA']","Kyrie Irving, CLE"
2015,"Stephen Curry, GS","Kawhi Leonard, SA","Andrew Wiggins, MIN","Lou Williams, TOR","Jimmy Butler, CHI","Mike Budenholzer, ATL","Andre Iguodala, GS","['LeBron James, CLE', 'Marc Gasol, MEM', 'Stephen Curry, GS', 'James Harden, HOU', 'Anthony Davis, NO']","['Pau Gasol, CHI', 'Chris Paul, LAC', 'LaMarcus Aldridge, POR', 'Russell Westbrook, OKC', 'DeMarcus Cousins, SAC']","['Tim Duncan, SA', 'DeAndre Jordan, LAC', 'Blake Griffin, LAC', 'Kyrie Irving, CLE', 'Klay Thompson, GS']","['Nikola Mirotic, CHI', 'Jordan Clarkson, LAL', 'Elfrid Payton, ORL', 'Nerlens Noel, PHI', 'Andrew Wiggins, MIN']","['Bojan Bogdanovic, BKN', 'Langston Galloway, NY', 'Marcus Smart, BOS', 'Zach LaVine, MIN', 'Jusuf Nurkic, DEN']","['Tony Allen, MEM', 'Chris Paul, LAC', 'DeAndre Jordan, LAC', 'Kawhi Leonard, SA', 'Draymond Green, GS']","['Tim Duncan, SA', 'Andrew Bogut, GS', 'John Wall, WSH', 'Jimmy Butler, CHI', 'Anthony Davis, NO']","Russell Westbrook, OKC"
2016,"Stephen Curry, GS","Kawhi Leonard, SA","Karl-Anthony Towns, MIN","Jamal Crawford, LAC","CJ McCollum, POR","Steve Kerr, GS","LeBron James, CLE","['LeBron James, CLE', 'DeAndre Jordan, LAC', 'Russell Westbrook, OKC', 'Stephen Curry, GS', 'Kawhi Leonard, SA']","['Chris Paul, LAC', 'Kevin Durant, OKC', 'DeMarcus Cousins, SAC', 'Draymond Green, GS', 'Damian Lillard, POR']","['LaMarcus Aldridge, SA', 'Kyle Lowry, TOR', 'Paul George, IND', 'Klay Thompson, GS', 'Andre Drummond, DET']","['Kristaps Porzingis, NY', 'Nikola Jokic, DEN', 'Jahlil Okafor, PHI', 'Devin Booker, PHX', 'Karl-Anthony Towns, MIN']","['Willie Cauley-Stein, SAC', 'Myles Turner, IND', 'Justise Winslow, MIA', ""D'Angelo Russell, LAL"", 'Emmanuel Mudiay, DEN']","['Chris Paul, LAC', 'DeAndre Jordan, LAC', 'Avery Bradley, BOS', 'Kawhi Leonard, SA', 'Draymond Green, GS']","['Tony Allen, MEM', 'Paul Millsap, ATL', 'Paul George, IND', 'Hassan Whiteside, MIA', 'Jimmy Butler, CHI']","Russell Westbrook, OKC"
2017,"Russell Westbrook, OKC","Draymond Green, GS","Malcolm Brogdon, MIL","Eric Gordon, HOU","Giannis Antetokounmpo, MIL","Mike D'Antoni, HOU","Kevin Durant, GS","['LeBron James, CLE', 'Russell Westbrook, OKC', 'James Harden, HOU', 'Kawhi Leonard, SA', 'Anthony Davis, NO']","['Kevin Durant, GS', 'Stephen Curry, GS', 'Isaiah Thomas, BOS', 'Rudy Gobert, UTAH', 'Giannis Antetokounmpo, MIL']","['DeAndre Jordan, LAC', 'DeMar DeRozan, TOR', 'John Wall, WSH', 'Jimmy Butler, CHI', 'Draymond Green, GS']","['Malcolm Brogdon, MIL', 'Buddy Hield, SAC', 'Willy Hernangomez, NY', 'Dario Saric, PHI', 'Joel Embiid, PHI']","['Yogi Ferrell, DAL', 'Marquese Chriss, PHX', 'Brandon Ingram, LAL', 'Jaylen Brown, BOS', 'Jamal Murray, DEN']","['Chris Paul, LAC', 'Patrick Beverley, HOU', 'Kawhi Leonard, SA', 'Draymond Green, GS', 'Rudy Gobert, UTAH']","['Tony Allen, MEM', 'Danny Green, SA', 'Anthony Davis, NO', 'Andre Roberson, OKC', 'Giannis Antetokounmpo, MIL']","Anthony Davis, NO"
2018,"James Harden, HOU","Rudy Gobert, UTAH","Ben Simmons, PHI","Lou Williams, LAC","Victor Oladipo, IND","Dwane Casey, TOR","Kevin Durant, GS","['LeBron James, CLE', 'Kevin Durant, GS', 'James Harden, HOU', 'Anthony Davis, NO', 'Damian Lillard, POR']","['LaMarcus Aldridge, SA', 'Russell Westbrook, OKC', 'DeMar DeRozan, TOR', 'Giannis Antetokounmpo, MIL', 'Joel Embiid, PHI']","['Stephen Curry, GS', 'Paul George, OKC', 'Jimmy Butler, MIN', 'Victor Oladipo, IND', 'Karl-Anthony Towns, MIN']","['Kyle Kuzma, LAL', 'Ben Simmons, PHI', 'Donovan Mitchell, UTAH', 'Jayson Tatum, BOS', 'Lauri Markkanen, CHI']","['Bogdan Bogdanovic, SAC', 'John Collins, ATL', 'Dennis Smith Jr., DAL', 'Josh Jackson, PHX', 'Lonzo Ball, LAL']","['Jrue Holiday, NO', 'Anthony Davis, NO', 'Robert Covington, PHI', 'Victor Oladipo, IND', 'Rudy Gobert, UTAH']","['Al Horford, BOS', 'Jimmy Butler, MIN', 'Draymond Green, GS', 'Joel Embiid, PHI', 'Dejounte Murray, SA']","LeBron James, CLE"
2019,"Giannis Antetokounmpo, MIL","Rudy Gobert, UTAH","Luka Doncic, DAL","Lou Williams, LAC","Pascal Siakam, TOR","Mike Budenholzer, MIL","Kawhi Leonard, TOR","['Stephen Curry, GS', 'James Harden, HOU', 'Paul George, OKC', 'Giannis Antetokounmpo, MIL', 'Nikola Jokic, DEN']","['Kevin Durant, GS', 'Kyrie Irving, BOS', 'Kawhi Leonard, TOR', 'Damian Lillard, POR', 'Joel Embiid, PHI']","['LeBron James, LAL', 'Russell Westbrook, OKC', 'Blake Griffin, DET', 'Kemba Walker, CHA', 'Rudy Gobert, UTAH']","['Luka Doncic, DAL', 'Marvin Bagley III, SAC', 'Trae Young, ATL', 'Jaren Jackson Jr., MEM', 'Deandre Ayton, PHX']","['Landry Shamet, LAC', 'Kevin Huerter, ATL', 'Collin Sexton, CLE', 'Shai Gilgeous-Alexander, LAC', 'Mitchell Robinson, NY']","['Eric Bledsoe, MIL', 'Paul George, OKC', 'Marcus Smart, BOS', 'Rudy Gobert, UTAH', 'Giannis Antetokounmpo, MIL']","['Jrue Holiday, NO', 'Kawhi Leonard, TOR', 'Klay Thompson, GS', 'Draymond Green, GS', 'Joel Embiid, PHI']","Kevin Durant, GS"
